Approved Symbol	Gene family description
AGAP11	Ankyrin repeat domain containing
AGAP2	Ankyrin repeat domain containing
AGAP3	Ankyrin repeat domain containing
AGAP4	Ankyrin repeat domain containing
AGAP5	Ankyrin repeat domain containing
AGAP6	Ankyrin repeat domain containing
AGAP7P	Ankyrin repeat domain containing
AGAP9	Ankyrin repeat domain containing
ANK1	Ankyrin repeat domain containing
ANK2	Ankyrin repeat domain containing
ANK3	Ankyrin repeat domain containing
ANKAR	Ankyrin repeat domain containing
ANKDD1A	Ankyrin repeat domain containing
ANKDD1B	Ankyrin repeat domain containing
ANKEF1	Ankyrin repeat domain containing
ANKFN1	Ankyrin repeat domain containing
ANKFY1	Ankyrin repeat domain containing
ANKHD1	Ankyrin repeat domain containing
ANKIB1	Ankyrin repeat domain containing
ANKK1	Ankyrin repeat domain containing
ANKLE1	Ankyrin repeat domain containing
ANKLE2	Ankyrin repeat domain containing
ANKMY1	Ankyrin repeat domain containing
ANKMY2	Ankyrin repeat domain containing
ANKRA2	Ankyrin repeat domain containing
ANKRD1	Ankyrin repeat domain containing
ANKRD10	Ankyrin repeat domain containing
ANKRD11	Ankyrin repeat domain containing
ANKRD12	Ankyrin repeat domain containing
ANKRD13A	Ankyrin repeat domain containing
ANKRD13B	Ankyrin repeat domain containing
ANKRD13C	Ankyrin repeat domain containing
ANKRD13D	Ankyrin repeat domain containing
ANKRD16	Ankyrin repeat domain containing
ANKRD17	Ankyrin repeat domain containing
ANKRD18A	Ankyrin repeat domain containing
ANKRD18B	Ankyrin repeat domain containing
ANKRD2	Ankyrin repeat domain containing
ANKRD20A1	Ankyrin repeat domain containing
ANKRD20A2	Ankyrin repeat domain containing
ANKRD20A3	Ankyrin repeat domain containing
ANKRD20A4	Ankyrin repeat domain containing
ANKRD22	Ankyrin repeat domain containing
ANKRD23	Ankyrin repeat domain containing
ANKRD24	Ankyrin repeat domain containing
ANKRD26	Ankyrin repeat domain containing
ANKRD27	Ankyrin repeat domain containing
ANKRD28	Ankyrin repeat domain containing
ANKRD29	Ankyrin repeat domain containing
ANKRD30A	Ankyrin repeat domain containing
ANKRD30B	Ankyrin repeat domain containing
ANKRD30BL	Ankyrin repeat domain containing
ANKRD31	Ankyrin repeat domain containing
SLF1	Ankyrin repeat domain containing
ANKRD33	Ankyrin repeat domain containing
ANKRD33B	Ankyrin repeat domain containing
ANKRD34A	Ankyrin repeat domain containing
ANKRD34B	Ankyrin repeat domain containing
ANKRD34C	Ankyrin repeat domain containing
ANKRD35	Ankyrin repeat domain containing
ANKRD36	Ankyrin repeat domain containing
ANKRD36B	Ankyrin repeat domain containing
ANKRD36C	Ankyrin repeat domain containing
ANKRD37	Ankyrin repeat domain containing
ANKRD39	Ankyrin repeat domain containing
ANKRD40	Ankyrin repeat domain containing
ANKRD42	Ankyrin repeat domain containing
ANKRD44	Ankyrin repeat domain containing
ANKRD45	Ankyrin repeat domain containing
ANKRD46	Ankyrin repeat domain containing
ANKRD49	Ankyrin repeat domain containing
ANKRD50	Ankyrin repeat domain containing
ANKRD52	Ankyrin repeat domain containing
ANKRD53	Ankyrin repeat domain containing
ANKRD54	Ankyrin repeat domain containing
ANKRD55	Ankyrin repeat domain containing
ANKRD6	Ankyrin repeat domain containing
ANKRD60	Ankyrin repeat domain containing
ANKRD61	Ankyrin repeat domain containing
ANKRD62	Ankyrin repeat domain containing
ANKRD63	Ankyrin repeat domain containing
ANKRD65	Ankyrin repeat domain containing
ANKRD66	Ankyrin repeat domain containing
ANKRD7	Ankyrin repeat domain containing
ANKRD9	Ankyrin repeat domain containing
ANKS1A	Ankyrin repeat domain containing
ANKS1B	Ankyrin repeat domain containing
ANKS3	Ankyrin repeat domain containing
ANKS4B	Ankyrin repeat domain containing
ANKS6	Ankyrin repeat domain containing
ANKUB1	Ankyrin repeat domain containing
ANKZF1	Ankyrin repeat domain containing
ARAP1	Ankyrin repeat domain containing
